id,name,types,primaryType,businessStatus,pureServiceAreaBusiness,formattedAddress,location
ChIJo5EYOK_4mUcRi4shjNiEDUc,"{'text': 'Boxenstop', 'languageCode': 'de'}",,bar,OPERATIONAL,,"Brunnenwiesen 6, 72144 Dußlingen, Germany","{'latitude': 48.452360299999995, 'longitude': 9.0623402}"
ChIJ_VfiMxj6mUcRRK_QBdxww7g,"{'text': 'Alte Krone', 'languageCode': 'de'}",,italian_restaurant,OPERATIONAL,,"Hindenburgpl. 25, 72144 Dußlingen, Germany","{'latitude': 48.452234999999995, 'longitude': 9.054786}"
ChIJ_VWb4xn6mUcRH4NujtHMKJI,"{'text': 'Café Kult Dußlingen', 'languageCode': 'de'}",,cafe,OPERATIONAL,,"Bahnhofstraße 11, 72144 Dußlingen, Germany","{'latitude': 48.4527192, 'longitude': 9.0574849}"
ChIJT4FlA7zwmUcRcrmR1JIlwm8,"{'text': 'Nazar Imbiss', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Bahnhofstraße 12, 72810 Gomaringen, Germany","{'latitude': 48.4550226, 'longitude': 9.0968865}"
ChIJ5dhz-EXxmUcRuZTn4wsBpQs,"{'text': 'Italienisches Restaurant in Gomaringen Trattoria Da Daniele', 'languageCode': 'de'}",,italian_restaurant,OPERATIONAL,,"Bahnhofstraße 15, 72810 Gomaringen, Germany","{'latitude': 48.4549198, 'longitude': 9.096332499999999}"
ChIJnVLW97vwmUcRkHx9e10WkyE,"{'text': 'Grissini Ristorante Trattoria', 'languageCode': 'de'}",,italian_restaurant,OPERATIONAL,,"Bahnhofstraße 15, 72810 Gomaringen, Germany","{'latitude': 48.4549397, 'longitude': 9.0963507}"
ChIJ3bJ1WPDxmUcRBC55YV0woIA,"{'text': ""s'Casa"", 'languageCode': 'de'}",,bar,OPERATIONAL,,"Bahnhofstraße 19, 72810 Gomaringen, Germany","{'latitude': 48.4557285, 'longitude': 9.0969157}"
ChIJ3xCcNgDxmUcRtLLUkaG5wY8,"{'text': ""La piccola s'Casa Imbiss Pizza"", 'languageCode': 'de'}",,pizza_restaurant,OPERATIONAL,,"Bahnhofstraße, 72810 Gomaringen, Germany","{'latitude': 48.4566284, 'longitude': 9.0980007}"
ChIJyfOQ32r6mUcRlmkEAh1apbs,"{'text': 'Gasthaus Schützenhaus / Partyservice Kaltenmark', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Beim Törle 50, 72144 Dußlingen, Germany","{'latitude': 48.4640991, 'longitude': 9.0589199}"
ChIJKTNtZZjwmUcRtKWjb8U2YqI,"{'text': 'Wirtshaus Krone', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Kirchenweg 42, 72810 Gomaringen, Germany","{'latitude': 48.4611911, 'longitude': 9.0904923}"
ChIJ21ldIJXwmUcRqVJwdqcHroA,"{'text': 'Bakery Schmid ""cafe cult""', 'languageCode': 'en'}",,bakery,OPERATIONAL,,"Raiffeisenstraße 1, 72810 Gomaringen, Germany","{'latitude': 48.461723199999994, 'longitude': 9.104622599999999}"
ChIJy9BCYNr9mUcRKQBU3lnANgo,"{'text': 'Café im Dreikönig', 'languageCode': 'de'}",,cafe,OPERATIONAL,,"Kiebinger Str. 43, 72108 Rottenburg am Neckar, Germany","{'latitude': 48.4750422, 'longitude': 8.9708431}"
ChIJeSaF9XD8mUcRDm3he7lkuMA,"{'text': 'Sportgaststätte Kiebingen', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Im Unterdorf 28, 72108 Rottenburg am Neckar, Germany","{'latitude': 48.478249399999996, 'longitude': 8.9754078}"
ChIJk0bQgJr7mUcR-CKFCw2h2KY,"{'text': 'Sportheim Bühl Inh. Gerardo Carbonaro', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Sengentalstraße 60, 72072 Tübingen, Germany","{'latitude': 48.477912800000006, 'longitude': 8.9999874}"
ChIJN7o495b7mUcRgQbaxkTIkXo,"{'text': 'Schützenhaus Bühl Restaurant Taverne', 'languageCode': 'de'}",,greek_restaurant,OPERATIONAL,,"Sengental 1, 72072 Tübingen, Germany","{'latitude': 48.4742592, 'longitude': 9.0046134}"
ChIJBctfifbwmUcRrXoViGlewME,"{'text': 'Sportgaststätte Reinenberg La Corte', 'languageCode': 'en'}",,italian_restaurant,OPERATIONAL,,"Bahnhofstraße 69, 72127 Kusterdingen, Germany","{'latitude': 48.475828, 'longitude': 9.1179697}"
ChIJU3_pY4T7mUcREub8_JVTsJc,"{'text': ""Gasthof 's Gräbele"", 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Römerstraße 8, 72072 Tübingen, Germany","{'latitude': 48.482222199999995, 'longitude': 8.994444399999999}"
ChIJIbTkHI37mUcRoDRmzFClAN4,"{'text': 'Dönerrizza', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Eugen-Bolz-Straße 44, 72072 Tübingen, Germany","{'latitude': 48.4830663, 'longitude': 8.9952234}"
ChIJG3kcYNz7mUcR5ZdgCEXB3-I,"{'text': 'ON Börek & Bakery (Turkish Bakery)', 'languageCode': 'en'}",,bakery,OPERATIONAL,,"Eugen-Bolz-Straße 19, 72072 Tübingen, Germany","{'latitude': 48.483256499999996, 'longitude': 8.9978118}"
ChIJ9e2hy3X7mUcRAJJ8PtNdcAQ,"{'text': 'Eddy’s Imbiss', 'languageCode': 'de'}",,meal_takeaway,OPERATIONAL,,"Bahnhofstraße 28, 72072 Tübingen, Germany","{'latitude': 48.4894295, 'longitude': 9.008041100000002}"
ChIJhxRbsgv7mUcRMjO-1R7lUtk,"{'text': 'Gasthaus Hirsch Kilchberg', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Closenweg 4, 72072 Tübingen, Germany","{'latitude': 48.4892883, 'longitude': 9.0167989}"
ChIJd8nlXKr7mUcRO6iJzDp3sUQ,"{'text': 'Schützenhaus Weilheim', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Talstraße 2, 72072 Tübingen, Germany","{'latitude': 48.4836257, 'longitude': 9.0328602}"
ChIJZxx-Kln6mUcROzIKQaLPWq4,"{'text': 'Restaurant Schloss Kressbach', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Kreßbach Hofgut 11, 72072 Tübingen, Germany","{'latitude': 48.4814405, 'longitude': 9.053992}"
ChIJEbY0PWfwmUcRX3ULHIUZ0S0,"{'text': ""Mayer's Waldhorn"", 'languageCode': 'en'}",,restaurant,OPERATIONAL,,"Neckar-Alb-Straße 47, 72127 Kusterdingen, Germany","{'latitude': 48.485428999999996, 'longitude': 9.1106436}"
ChIJ4VPJNj3xmUcR74Qh7Q0iz_k,"{'text': ""Mayer's Sommergarten"", 'languageCode': 'de'}",,bar,OPERATIONAL,,"Neckar-Alb-Straße 47, 72127 Kusterdingen, Germany","{'latitude': 48.485428999999996, 'longitude': 9.1106436}"
ChIJARhATH37mUcRyRmMLZdZkKw,"{'text': 'Pizzeria -Sportlerstube Hirschau', 'languageCode': 'de'}",,italian_restaurant,OPERATIONAL,,"Schulstraße 28, 72070 Tübingen, Germany","{'latitude': 48.498152499999996, 'longitude': 8.992523199999999}"
ChIJnQwYNXf7mUcRQiKytCB8Vn0,"{'text': 'EAT HAPPY', 'languageCode': 'de'}",,meal_takeaway,OPERATIONAL,,"Alte Landstraße 45, 72072 Tübingen, Germany","{'latitude': 48.496616499999995, 'longitude': 9.029984899999999}"
ChIJ66taiuz6mUcRFSLyQ1zeZug,"{'text': 'Sportgaststätte TV Derendingen', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Gartenstadt 1, 72072 Tübingen, Germany","{'latitude': 48.4969252, 'longitude': 9.0630058}"
ChIJJefnUwD7mUcRw8RE8WokBsc,"{'text': 'Biergarten Sudhaus', 'languageCode': 'de'}",,bar,OPERATIONAL,,"Hechinger Str. 203, 72072 Tübingen, Germany","{'latitude': 48.5000448, 'longitude': 9.0654417}"
ChIJocMuqXPwmUcR_FQG4_XZKr8,"{'text': 'Hotel Gasthof Löwen Wankheim', 'languageCode': 'de'}",,hotel,OPERATIONAL,,"Ob. Str. 15, 72127 Kusterdingen, Germany","{'latitude': 48.497256900000004, 'longitude': 9.1008237}"
ChIJTR3JWCjxmUcRbt_RBaruRfk,"{'text': 'Ristorante Pizzeria Milano', 'languageCode': 'de'}",,italian_restaurant,OPERATIONAL,,"Ob. Str. 15, 72127 Kusterdingen, Germany","{'latitude': 48.497256900000004, 'longitude': 9.1008237}"
ChIJA_PuHnPwmUcRvwRYy8yGfdg,"{'text': 'Hofladen Kemmler', 'languageCode': 'de'}",,bakery,OPERATIONAL,,"Hauptstraße 30, 72127 Kusterdingen, Germany","{'latitude': 48.4989766, 'longitude': 9.1014547}"
ChIJA_PuHnPwmUcRjsZYfTvJ-ZQ,"{'text': 'Landgut Kemmler', 'languageCode': 'de'}",,farmstay,OPERATIONAL,,"Hauptstraße 20, 72127 Tübingen, Germany","{'latitude': 48.4991073, 'longitude': 9.1012811}"
